Claim_ID,Food_ID,Receiver_ID,Status,Timestamp,Claim_Date,Claim_Year,Claim_Month,Claim_Day,Claim_Hour,Receiver_Name,Receiver_Type,Receiver_City,Receiver_Contact,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,Expiry_Year,Expiry_Month,Expiry_Day,Provider_Name,Provider_Category,Address,Provider_City,Provider_Contact
15,684,97,Completed,2025-03-07 08:00:00,2025-03-07,2025,March,Friday,8,Nathan May,Charity,South Veronicaburgh,(808)784-9354,Rice,39,2025-03-29,221,Supermarket,Walterborough,Vegetarian,Snacks,2025,March,29,Richardson Group,Supermarket,"48378 Morris Pines Apt. 216
Port Williamville, MD 62944",Walterborough,(924)099-7995
16,320,836,Cancelled,2025-03-07 06:17:00,2025-03-07,2025,March,Friday,6,Scott Craig,Shelter,South Lisa,118.382.6136,Vegetables,26,2025-03-20,484,Restaurant,North Douglasfurt,Vegetarian,Lunch,2025,March,20,Nelson-White,Restaurant,"413 Atkinson Lodge
South Michael, WY 43133",North Douglasfurt,001-558-380-9342x873
17,465,588,Cancelled,2025-03-15 16:49:00,2025-03-15,2025,March,Saturday,16,Laurie Alvarez,Shelter,North Raymond,(463)392-9887x42698,Rice,32,2025-03-19,532,Grocery Store,Darrylchester,Vegetarian,Snacks,2025,March,19,Johnson-Green,Grocery Store,"7369 Kenneth Haven
Andrewborough, UT 47985",Darrylchester,001-090-513-0319x965
18,952,729,Completed,2025-03-09 02:04:00,2025-03-09,2025,March,Sunday,2,David Spence,Charity,Port Curtisside,+1-843-006-1807,Pasta,32,2025-03-28,82,Supermarket,West Lauraborough,Vegan,Dinner,2025,March,28,Carey-Richardson,Supermarket,"352 Moore Greens Suite 745
Deborahtown, NV 83580",West Lauraborough,468.906.0755x92529
19,798,399,Pending,2025-03-16 06:32:00,2025-03-16,2025,March,Sunday,6,Jennifer Hughes,Charity,West Donnaton,001-147-430-1204x8556,Fish,3,2025-03-30,413,Catering Service,North Mike,Vegetarian,Lunch,2025,March,30,"Davis, Bowen and Miller",Catering Service,"418 Adam Mission Suite 750
Jessicaville, OR 26759",North Mike,9207424674
20,792,88,Completed,2025-03-07 12:15:00,2025-03-07,2025,March,Friday,12,Eric Ryan DDS,NGO,Lake Daniel,001-677-794-6847x02126,Chicken,15,2025-03-17,308,Catering Service,Brittanyside,Vegan,Breakfast,2025,March,17,Doyle LLC,Catering Service,"8157 Tammy Road
West Stephenchester, NC 16381",Brittanyside,0312154595
21,281,493,Completed,2025-03-04 00:29:00,2025-03-04,2025,March,Tuesday,0,Chelsea Powell,Charity,Lake Rachelburgh,001-527-059-4168x72504,Rice,28,2025-03-23,356,Supermarket,West Michael,Non-Vegetarian,Breakfast,2025,March,23,Espinoza PLC,Supermarket,"410 White Heights
North Todd, ID 25520",West Michael,(410)539-3296
22,345,757,Pending,2025-03-09 03:11:00,2025-03-09,2025,March,Sunday,3,Christopher Garcia,Charity,North Danielchester,+1-837-555-5633x0883,Pasta,14,2025-03-20,346,Grocery Store,Thomasville,Vegan,Lunch,2025,March,20,"Phillips, Wolfe and Martin",Grocery Store,"Unit 1376 Box 6294
DPO AE 62072",Thomasville,001-548-413-4962
23,674,526,Completed,2025-03-06 22:55:00,2025-03-06,2025,March,Thursday,22,Brian Morales,NGO,Darinland,409-939-7232x9674,Vegetables,34,2025-03-17,518,Grocery Store,Anneville,Vegetarian,Lunch,2025,March,17,"Hill, Davis and Stewart",Grocery Store,"6315 Jonathan Views Suite 276
Jerryhaven, TX 90986",Anneville,+1-608-953-5542x841
24,594,717,Pending,2025-03-15 00:51:00,2025-03-15,2025,March,Saturday,0,Jonathon Gregory,Individual,Shortfort,040-511-7461x377,Chicken,35,2025-03-28,140,Restaurant,Watsonstad,Non-Vegetarian,Breakfast,2025,March,28,Zhang LLC,Restaurant,"6343 Sanders Park Suite 844
Port Brendaton, FL 49650",Watsonstad,001-943-679-8869x4358
25,371,10,Completed,2025-03-10 07:10:00,2025-03-10,2025,March,Monday,7,Mary Salazar,NGO,Wrightland,001-187-333-7518x11395,Bread,34,2025-03-21,154,Supermarket,New John,Non-Vegetarian,Lunch,2025,March,21,Smith-Turner,Supermarket,"574 Jamie Mountains Apt. 480
North Timothy, CA 92067",New John,001-084-709-0706x311
26,959,233,Cancelled,2025-03-21 04:34:00,2025-03-21,2025,March,Friday,4,Alicia Porter,Charity,Port Ericmouth,001-652-614-2884x66578,Pasta,26,2025-03-18,758,Catering Service,Port Patrick,Vegan,Breakfast,2025,March,18,Todd Group,Catering Service,"Unit 6259 Box 3832
DPO AE 28167",Port Patrick,236.722.8623
27,58,487,Completed,2025-03-17 05:07:00,2025-03-17,2025,March,Monday,5,Micheal Peterson,NGO,West Jeffreyfurt,094.330.4095,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,2025,March,28,Harrison-Wilson,Catering Service,"904 Christopher Station
Lake Patriciaborough, AR 56947",Cunninghambury,269.475.2515
28,586,189,Pending,2025-03-19 04:15:00,2025-03-19,2025,March,Wednesday,4,Stephen Smith,Individual,Maxberg,(690)326-1349x605,Vegetables,37,2025-03-18,54,Supermarket,Lake Rachael,Vegetarian,Breakfast,2025,March,18,"Bennett, Phillips and Green",Supermarket,"Unit 0882 Box 8764
DPO AE 00627",Lake Rachael,001-350-580-0382x854
29,812,769,Pending,2025-03-14 17:09:00,2025-03-14,2025,March,Friday,17,John Warner,Shelter,Cookhaven,+1-003-320-5395,Bread,49,2025-03-19,471,Grocery Store,Charlesmouth,Non-Vegetarian,Lunch,2025,March,19,"Allen, Ramsey and Cortez",Grocery Store,"480 Bruce Run
Dennischester, CO 85895",Charlesmouth,594.468.5130
30,193,228,Pending,2025-03-07 04:05:00,2025-03-07,2025,March,Friday,4,Joanna Wilkins,Charity,Singletonview,(796)888-1488,Pasta,25,2025-03-21,354,Catering Service,South Alicia,Vegan,Breakfast,2025,March,21,Rowe-Arias,Catering Service,"8041 Joseph Shoal Suite 878
North Robertfurt, KY 43667",South Alicia,090-649-4737
31,937,546,Completed,2025-03-03 02:06:00,2025-03-03,2025,March,Monday,2,Meagan Hughes,Charity,Lake Lance,(109)364-9434,Bread,18,2025-03-27,916,Catering Service,Patrickfort,Non-Vegetarian,Lunch,2025,March,27,Davis and Sons,Catering Service,"551 Huynh Trail Apt. 373
Lake Kevinton, KS 39284",Patrickfort,965.266.3582
32,624,371,Cancelled,2025-03-17 12:57:00,2025-03-17,2025,March,Monday,12,William Frederick,NGO,Port Dean,001-228-551-9866,Fish,10,2025-03-16,475,Catering Service,Bentonfurt,Non-Vegetarian,Breakfast,2025,March,16,Henderson Group,Catering Service,"655 Mallory Fork
North Mary, WY 23835",Bentonfurt,854-929-8365
33,905,386,Cancelled,2025-03-16 14:26:00,2025-03-16,2025,March,Sunday,14,Mary Hopkins,Individual,Tiffanyport,001-476-350-8465x7500,Bread,37,2025-03-25,2,Grocery Store,East Sheena,Vegan,Dinner,2025,March,25,"Nielsen, Johnson and Fuller",Grocery Store,"91228 Hanson Stream
Welchtown, OR 27136",East Sheena,+1-925-283-8901x6297
34,713,271,Pending,2025-03-18 01:17:00,2025-03-18,2025,March,Tuesday,1,Mark Hartman,Individual,East Ashleyshire,818-015-1582,Fish,7,2025-03-26,108,Supermarket,East Austin,Vegan,Snacks,2025,March,26,Williams-Cox,Supermarket,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329
35,190,93,Cancelled,2025-03-09 21:40:00,2025-03-09,2025,March,Sunday,21,Allison Bray,Individual,Alexatown,001-122-277-3588,Salad,25,2025-03-22,262,Supermarket,New Carol,Non-Vegetarian,Snacks,2025,March,22,Bradford-Martinez,Supermarket,"366 Wheeler Fields
Harringtonchester, WY 86540",New Carol,199.451.0254
36,597,562,Pending,2025-03-16 03:41:00,2025-03-16,2025,March,Sunday,3,Antonio Murphy,NGO,West Kevin,+1-177-564-0300x9110,Dairy,12,2025-03-20,563,Grocery Store,East Angela,Vegetarian,Lunch,2025,March,20,Daniels-Kim,Grocery Store,"002 Donald Glen Suite 515
Edwardschester, OR 44523",East Angela,787.621.3654x1971
37,832,920,Cancelled,2025-03-13 03:50:00,2025-03-13,2025,March,Thursday,3,Gregory Rodriguez,Charity,West Davidview,671.667.1616,Fish,19,2025-03-16,752,Grocery Store,East Heatherport,Non-Vegetarian,Breakfast,2025,March,16,Butler-Richardson,Grocery Store,"99213 George Spurs Suite 321
Petersenberg, MA 55289",East Heatherport,+1-268-505-2616
38,757,380,Cancelled,2025-03-18 05:29:00,2025-03-18,2025,March,Tuesday,5,Heather Silva,Charity,Lake Ryan,1340826530,Dairy,42,2025-03-21,282,Supermarket,Port Gregton,Vegetarian,Dinner,2025,March,21,"Baker, Gardner and Callahan",Supermarket,"18439 Amanda Field Apt. 333
Mccartymouth, MO 88867",Port Gregton,520-919-5240
39,58,923,Pending,2025-03-12 09:57:00,2025-03-12,2025,March,Wednesday,9,Victor Diaz,Shelter,Darinview,561.923.0470x922,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,2025,March,28,Harrison-Wilson,Catering Service,"904 Christopher Station
Lake Patriciaborough, AR 56947",Cunninghambury,269.475.2515
40,141,789,Pending,2025-03-10 04:14:00,2025-03-10,2025,March,Monday,4,Laura Robertson,NGO,Hansonfurt,616-851-6533x67759,Dairy,33,2025-03-29,702,Supermarket,Lake Mistyton,Non-Vegetarian,Lunch,2025,March,29,Moreno-Melton,Supermarket,"88171 Teresa Station
New Shane, UT 53712",Lake Mistyton,001-098-297-7862x776
41,415,336,Pending,2025-03-18 04:33:00,2025-03-18,2025,March,Tuesday,4,Laura Marshall,Charity,East Lisafurt,+1-389-167-7916x81453,Vegetables,18,2025-03-23,537,Restaurant,Callahanside,Vegan,Breakfast,2025,March,23,Jones Group,Restaurant,"3828 Williams Lake
Brownshire, OR 72935",Callahanside,(104)313-7701x468
42,886,256,Pending,2025-03-07 12:22:00,2025-03-07,2025,March,Friday,12,Derek Wilson,Individual,Christopherland,+1-963-859-7585x002,Bread,48,2025-03-20,423,Restaurant,South Justinborough,Vegetarian,Breakfast,2025,March,20,Serrano-Lopez,Restaurant,"312 Hodge Center
West Stevenshire, KS 70989",South Justinborough,(225)688-7752x0658
43,611,306,Pending,2025-03-16 17:08:00,2025-03-16,2025,March,Sunday,17,Donna Williams,Charity,Calebview,083-313-0990x09518,Vegetables,40,2025-03-30,993,Restaurant,East Stephanie,Vegetarian,Snacks,2025,March,30,Mckinney Ltd,Restaurant,"179 Fernandez Rapids
Campbellport, MA 31352",East Stephanie,225-959-2378
44,825,31,Pending,2025-03-09 13:02:00,2025-03-09,2025,March,Sunday,13,Rose Powell,NGO,Spencermouth,247-152-7297x648,Salad,25,2025-03-25,995,Supermarket,Manningshire,Vegetarian,Breakfast,2025,March,25,Moore Group,Supermarket,"46915 Maynard Dam Suite 320
North Alyssa, CA 48762",Manningshire,889-093-8775x51762
45,457,569,Completed,2025-03-13 07:07:00,2025-03-13,2025,March,Thursday,7,Danny Randolph,Shelter,South Yolanda,029.011.8582,Soup,30,2025-03-25,347,Supermarket,Louismouth,Non-Vegetarian,Lunch,2025,March,25,"Hood, Hoffman and Wright",Supermarket,"783 Gonzales Valleys Apt. 115
Alexandrialand, NH 52248",Louismouth,992.697.3906x31622
46,556,412,Cancelled,2025-03-12 02:30:00,2025-03-12,2025,March,Wednesday,2,David Carney,NGO,Port Dianemouth,001-710-732-1565x428,Fish,48,2025-03-21,938,Restaurant,Hollyhaven,Vegan,Lunch,2025,March,21,Barker LLC,Restaurant,"5999 Brenda Trail Apt. 807
Amberstad, VT 22034",Hollyhaven,+1-530-780-2072x25507
47,746,48,Pending,2025-03-07 10:45:00,2025-03-07,2025,March,Friday,10,Jennifer Graham,Individual,East Saraport,001-979-746-0394x487,Bread,31,2025-03-30,293,Catering Service,Joneshaven,Non-Vegetarian,Lunch,2025,March,30,Ibarra and Sons,Catering Service,"Unit 2034 Box 3584
DPO AE 66830",Joneshaven,855-385-3050x223
48,895,373,Pending,2025-03-09 23:13:00,2025-03-09,2025,March,Sunday,23,Seth Esparza,Shelter,Port Brandonberg,2597616873,Pasta,38,2025-03-29,888,Supermarket,West Sharonview,Vegan,Snacks,2025,March,29,Schmidt-Alexander,Supermarket,"96966 Smith Expressway
Lauraburgh, MD 50475",West Sharonview,(616)029-0456x6126
49,190,678,Pending,2025-03-20 13:44:00,2025-03-20,2025,March,Thursday,13,Joseph Johnson,NGO,South Jasminechester,412.202.8352x6950,Salad,25,2025-03-22,262,Supermarket,New Carol,Non-Vegetarian,Snacks,2025,March,22,Bradford-Martinez,Supermarket,"366 Wheeler Fields
Harringtonchester, WY 86540",New Carol,199.451.0254
50,251,804,Pending,2025-03-19 13:18:00,2025-03-19,2025,March,Wednesday,13,Elizabeth Cochran,NGO,Theresabury,7711350025,Dairy,12,2025-03-24,241,Catering Service,Devinmouth,Non-Vegetarian,Lunch,2025,March,24,"Harper, Blake and Alexander",Catering Service,"882 Smith Heights
East Cherylborough, DC 06299",Devinmouth,(144)381-3923
51,543,255,Pending,2025-03-04 10:59:00,2025-03-04,2025,March,Tuesday,10,Walter Myers,Individual,New Tina,+1-285-278-8381x0454,Fruits,9,2025-03-26,526,Supermarket,South Tylerstad,Vegan,Dinner,2025,March,26,"Harrington, Jimenez and Carr",Supermarket,"7266 Alvarez Junctions Suite 564
New Robertfort, MT 85213",South Tylerstad,154-764-8062
52,507,517,Cancelled,2025-03-15 14:58:00,2025-03-15,2025,March,Saturday,14,Taylor Wolfe,Individual,New Travisland,516.367.4140,Chicken,43,2025-03-26,968,Restaurant,Christopherton,Vegetarian,Lunch,2025,March,26,"Robinson, Schaefer and Foster",Restaurant,"83418 Joshua Place Suite 333
Nathanielborough, IN 28904",Christopherton,+1-235-607-0553x247
53,37,449,Completed,2025-03-11 09:43:00,2025-03-11,2025,March,Tuesday,9,Mrs. Valerie Hartman,NGO,Port Jenniferborough,1271218776,Fish,19,2025-03-20,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner,2025,March,20,Hunt-Lee,Grocery Store,"1004 Michael Mission
East Kenneth, NY 07626",Davidborough,001-681-802-0601x91223
54,534,737,Cancelled,2025-03-06 01:44:00,2025-03-06,2025,March,Thursday,1,James Brown,Shelter,Lake Catherine,(152)508-8754x91151,Vegetables,34,2025-03-30,223,Restaurant,Longland,Non-Vegetarian,Dinner,2025,March,30,Hodges and Sons,Restaurant,"7970 Robinson Field
Salinaschester, CT 85213",Longland,504.107.9130
55,438,601,Completed,2025-03-09 00:13:00,2025-03-09,2025,March,Sunday,0,Peter Gonzalez,Shelter,Biancaton,(112)578-4601x9811,Dairy,46,2025-03-20,84,Restaurant,Marthaside,Vegetarian,Breakfast,2025,March,20,Atkins Group,Restaurant,"2205 Sharp Junction Suite 771
Drakefurt, KY 14437",Marthaside,+1-318-669-6985x63710
56,690,452,Completed,2025-03-17 14:29:00,2025-03-17,2025,March,Monday,14,Tina Banks,Charity,Port Judith,986-535-7620,Fruits,43,2025-03-16,779,Supermarket,New Bobbytown,Vegetarian,Breakfast,2025,March,16,Maynard LLC,Supermarket,"7357 Kimberly Estate
Williamtown, TX 45569",New Bobbytown,416.974.9320x8176
57,225,295,Completed,2025-03-11 21:44:00,2025-03-11,2025,March,Tuesday,21,Joseph Williams,Individual,East Dale,001-112-513-9413,Fish,26,2025-03-24,340,Grocery Store,Murrayborough,Vegan,Dinner,2025,March,24,"Barry, Powers and White",Grocery Store,"1145 Justin Light
Richardside, CT 45760",Murrayborough,(023)817-1166
58,258,149,Completed,2025-03-13 15:12:00,2025-03-13,2025,March,Thursday,15,Nathan Willis,NGO,Danielfort,830.318.9696x322,Fish,24,2025-03-21,101,Restaurant,East Angelafort,Vegetarian,Breakfast,2025,March,21,Chambers-Waters,Restaurant,"56762 Kimberly Light Suite 474
Matthewmouth, UT 45275",East Angelafort,001-230-322-3448x38934
59,797,371,Cancelled,2025-03-02 23:28:00,2025-03-02,2025,March,Sunday,23,William Frederick,NGO,Port Dean,001-228-551-9866,Dairy,40,2025-03-27,467,Catering Service,Phillipsfort,Vegan,Breakfast,2025,March,27,"Wilson, Watkins and Moore",Catering Service,"57044 Fisher Valley
Parkerland, ID 82897",Phillipsfort,782.944.0904
60,390,391,Pending,2025-03-16 15:03:00,2025-03-16,2025,March,Sunday,15,Regina Munoz,NGO,Lake Clinton,585.955.3149,Soup,19,2025-03-27,264,Catering Service,New Richard,Non-Vegetarian,Lunch,2025,March,27,Holland and Sons,Catering Service,"430 Tyler View Apt. 166
South Katherine, TX 04269",New Richard,184-401-2586x9344
61,990,550,Cancelled,2025-03-08 21:06:00,2025-03-08,2025,March,Saturday,21,Shawn Gibson,Individual,South Eric,001-268-793-0427x33000,Pasta,11,2025-03-25,720,Restaurant,Francisshire,Vegetarian,Breakfast,2025,March,25,"Page, Smith and Davis",Restaurant,"065 Mary Estate Apt. 886
North Jessica, NY 33169",Francisshire,921-470-8846x3047
62,258,678,Pending,2025-03-17 14:07:00,2025-03-17,2025,March,Monday,14,Joseph Johnson,NGO,South Jasminechester,412.202.8352x6950,Fish,24,2025-03-21,101,Restaurant,East Angelafort,Vegetarian,Breakfast,2025,March,21,Chambers-Waters,Restaurant,"56762 Kimberly Light Suite 474
Matthewmouth, UT 45275",East Angelafort,001-230-322-3448x38934
63,119,279,Pending,2025-03-08 21:30:00,2025-03-08,2025,March,Saturday,21,Angela Wyatt,Charity,Port Jessica,592.913.1646x3179,Bread,49,2025-03-28,135,Catering Service,East Candace,Non-Vegetarian,Breakfast,2025,March,28,Dyer Group,Catering Service,"601 Kent Mills Apt. 098
New Robertstad, NY 73393",East Candace,906.900.1026
64,771,90,Completed,2025-03-17 13:38:00,2025-03-17,2025,March,Monday,13,Alvin West,Shelter,Kellybury,(417)314-8724,Chicken,9,2025-03-23,551,Restaurant,East Sandratown,Vegetarian,Dinner,2025,March,23,"Holland, Caldwell and Oliver",Restaurant,"7502 Silva Lights Apt. 125
North Brittany, MA 40389",East Sandratown,(670)960-9465
65,424,532,Cancelled,2025-03-15 15:00:00,2025-03-15,2025,March,Saturday,15,David Sellers DVM,Individual,South Michaelfurt,492.321.3443,Pasta,41,2025-03-27,910,Restaurant,Leeburgh,Non-Vegetarian,Lunch,2025,March,27,Lee PLC,Restaurant,"886 Mark Plain Suite 687
Lake Nicholashaven, MN 43931",Leeburgh,346.517.7901x471
66,310,730,Cancelled,2025-03-11 19:22:00,2025-03-11,2025,March,Tuesday,19,Felicia Glover,Shelter,East Michael,982-844-2370,Rice,13,2025-03-20,528,Supermarket,Markport,Vegan,Dinner,2025,March,20,Baird PLC,Supermarket,"10521 Jared Mill Suite 659
Mccormickhaven, MO 07533",Markport,001-930-122-6265x199
67,486,817,Completed,2025-03-17 17:22:00,2025-03-17,2025,March,Monday,17,Victoria Torres,Charity,Martinchester,+1-624-780-9445x7755,Chicken,9,2025-03-25,550,Catering Service,Timothychester,Vegan,Snacks,2025,March,25,"Phelps, Graham and Hayes",Catering Service,"59138 Sherman Light Apt. 256
Rossside, ND 89271",Timothychester,(512)814-0594x96653
68,526,321,Pending,2025-03-02 04:49:00,2025-03-02,2025,March,Sunday,4,Wanda Wise,Shelter,South Bethanyport,(940)028-0493x49472,Rice,11,2025-03-30,883,Supermarket,New Jacob,Vegetarian,Lunch,2025,March,30,"Lewis, Wagner and Solis",Supermarket,"250 Chloe Common
South Elizabethbury, NH 23690",New Jacob,001-094-480-8706
69,321,45,Completed,2025-03-10 06:15:00,2025-03-10,2025,March,Monday,6,Derek Potter,Charity,South Laurachester,497-372-7517x026,Pasta,20,2025-03-18,572,Supermarket,Lake Cathy,Non-Vegetarian,Lunch,2025,March,18,Shaw Group,Supermarket,"PSC 8369, Box 1372
APO AP 87487",Lake Cathy,+1-168-522-2184x289
70,203,479,Completed,2025-03-19 15:41:00,2025-03-19,2025,March,Wednesday,15,Karen Reeves MD,NGO,Lake Mitchellbury,365-174-3809,Pasta,8,2025-03-24,215,Grocery Store,New Curtis,Vegetarian,Breakfast,2025,March,24,Simmons Ltd,Grocery Store,"6249 Michelle Islands Apt. 374
West Heather, VT 67074",New Curtis,(219)975-7084
71,538,897,Cancelled,2025-03-02 15:34:00,2025-03-02,2025,March,Sunday,15,Shelby Rice,Shelter,New Loriberg,+1-213-470-2112x7474,Dairy,18,2025-03-29,840,Restaurant,Cisnerostown,Vegetarian,Lunch,2025,March,29,Farmer Ltd,Restaurant,"594 Patel Road Suite 676
Autumnborough, AK 45847",Cisnerostown,924.147.5562x1759
72,851,44,Completed,2025-03-04 10:49:00,2025-03-04,2025,March,Tuesday,10,Andrew Lawson,Shelter,Davisborough,622.566.7870,Fruits,35,2025-03-18,516,Catering Service,New Aaronberg,Non-Vegetarian,Snacks,2025,March,18,"Raymond, Kelly and Yates",Catering Service,"8919 Natasha Tunnel
Jacksonburgh, MO 07674",New Aaronberg,(590)421-4384
73,708,222,Pending,2025-03-05 23:42:00,2025-03-05,2025,March,Wednesday,23,Stephanie Jones,Shelter,West Aaronport,001-029-940-1111,Rice,17,2025-03-22,800,Catering Service,East Amyfurt,Vegan,Lunch,2025,March,22,"Hughes, Fuller and Sanchez",Catering Service,"19447 Michael Locks Apt. 580
Thompsonburgh, NJ 75869",East Amyfurt,(040)473-0155
74,487,62,Cancelled,2025-03-02 13:20:00,2025-03-02,2025,March,Sunday,13,Nichole Lewis,NGO,North Catherinefurt,777-445-5269x5255,Fruits,43,2025-03-18,499,Catering Service,Jonathanstad,Vegetarian,Dinner,2025,March,18,Blankenship-Lewis,Catering Service,"883 Lee Alley
East Robertview, MI 64109",Jonathanstad,651-552-2403
75,909,161,Cancelled,2025-03-06 11:44:00,2025-03-06,2025,March,Thursday,11,Mary Nguyen,Charity,Mcclurestad,+1-453-182-2743x789,Fish,10,2025-03-28,831,Catering Service,Lewishaven,Vegan,Snacks,2025,March,28,Figueroa Inc,Catering Service,"5678 Washington Pines Suite 444
Millerfurt, DE 55779",Lewishaven,107.592.8920
